i_iso3,j_iso3,year,tau,tauAlt
ZAF,KOR,2011,2.5853367087660084,1.7425645174155704
AUS,MEX,2011,1.5571483528389491,0.9704977269842929
BRA,MEX,2011,1.615083042740238,1.1028418348139202
CAN,MEX,2011,1.2595212256167665,0.9154594672466523
CHL,MEX,2011,1.8974843194792375,1.2657281576480748
CHN,MEX,2011,1.4854329744322567,1.2100444638843062
COL,MEX,2011,2.560923175977976,1.5903300874131423
EU,MEX,2011,1.1980816832445027,0.9498165844926072
IDN,MEX,2011,2.7838132686949457,1.8050198995783677
IND,MEX,2011,3.3755141471623675,2.3236203437753002
ISR,MEX,2011,1.864325085834762,1.124729342158319
JPN,MEX,2011,1.01799079294584,0.7532682393135797
